,xg,yg,halfdyup,halfdylow
0,371.51599,546.4490913363871,20,20
1,372.51599,546.4582861665366,20,20
2,373.51599,546.4674809966859,20,20
3,374.51599,546.4766758268354,20,20
4,375.51599,546.4858706569848,20,20
5,376.51599,546.4950654871343,20,20
6,377.51599,546.5042603172838,20,20
7,378.51599,546.5134551474332,20,20
8,379.51599,546.5226499775827,20,20
9,380.51599,546.531844807732,20,20
10,381.51599,546.5410396378815,20,20
11,382.51599,546.5502344680309,20,20
12,383.51599,546.5594292981804,20,20
13,384.51599,546.5686241283298,20,20
14,385.51599,546.5778189584793,20,20
15,386.51599,546.5870137886286,20,20
16,387.51599,546.5962086187781,20,20
17,388.51599,546.6054034489275,20,20
18,389.51599,546.614598279077,20,20
19,390.51599,546.6237931092264,20,20
20,391.51599,546.6329879393759,20,20
21,392.51599,546.6421827695252,20,20
22,393.51599,546.6513775996747,20,20
23,394.51599,546.6605724298241,20,20
24,395.51599,546.6697672599736,20,20
25,396.51599,546.678962090123,20,20
26,397.51599,546.6881569202725,20,20
27,398.51599,546.6973517504218,20,20
28,399.51599,546.7065465805713,20,20
29,400.51599,546.7157414107207,20,20
30,401.51599,546.7249362408702,20,20
31,402.51599,546.7341310710196,20,20
32,403.51599,546.7433259011691,20,20
33,404.51599,546.7525207313186,20,20
34,405.51599,546.7617155614679,20,20
35,406.51599,546.7709103916173,20,20
36,407.51599,546.7801052217668,20,20
37,408.51599,546.7893000519163,20,20
38,409.51599,546.7984948820657,20,20
39,410.51599,546.8076897122152,20,20
40,411.51599,546.8168845423645,20,20
41,412.51599,546.826079372514,20,20
42,413.51599,546.8352742026634,20,20
43,414.51599,546.8444690328129,20,20
44,415.51599,546.8536638629623,20,20
45,416.51599,546.8628586931118,20,20
46,417.51599,546.8720535232611,20,20
47,418.51599,546.8812483534106,20,20
48,419.51599,546.89044318356,20,20
49,420.51599,546.8996380137095,20,20
50,421.51599,546.9088328438589,20,20
51,422.51599,546.9180276740084,20,20
52,423.51599,546.9272225041577,20,20
53,424.51599,546.9364173343072,20,20
54,425.51599,546.9456121644566,20,20
55,426.51599,546.9548069946061,20,20
56,427.51599,546.9640018247555,20,20
57,428.51599,546.973196654905,20,20
58,429.51599,546.9823914850544,20,20
59,430.51599,546.9915863152038,20,20
60,431.51599,547.0007811453532,20,20
61,432.51599,547.0099759755027,20,20
62,433.51599,547.0191708056522,20,20
63,434.51599,547.0283656358016,20,20
64,435.51599,547.0375604659511,20,20
65,436.51599,547.0467552961004,20,20
66,437.51599,547.0559501262499,20,20
67,438.51599,547.0651449563993,20,20
68,439.51599,547.0743397865488,20,20
69,440.51599,547.0835346166982,20,20
70,441.51599,547.0927294468477,20,20
71,442.51599,547.101924276997,20,20
72,443.51599,547.1111191071465,20,20
73,444.51599,547.1203139372959,20,20
74,445.51599,547.1295087674454,20,20
75,446.51599,547.1387035975948,20,20
76,447.51599,547.1478984277443,20,20
77,448.51599,547.1570932578936,20,20
78,449.51599,547.1662880880431,20,20
79,450.51599,547.1754829181925,20,20
80,451.51599,547.184677748342,20,20
81,452.51599,547.1938725784914,20,20
82,453.51599,547.2030674086409,20,20
83,454.51599,547.2122622387903,20,20
84,455.51599,547.2214570689397,20,20
85,456.51599,547.2306518990891,20,20
86,457.51599,547.2398467292386,20,20
87,458.51599,547.249041559388,20,20
88,459.51599,547.2582363895375,20,20
89,460.51599,547.267431219687,20,20
90,461.51599,547.2766260498363,20,20
91,462.51599,547.2858208799857,20,20
92,463.51599,547.2950157101352,20,20
93,464.51599,547.3042105402847,20,20
94,465.51599,547.3134053704341,20,20
95,466.51599,547.3226002005836,20,20
96,467.51599,547.3317950307329,20,20
97,468.51599,547.3409898608824,20,20
98,469.51599,547.3501846910318,20,20
99,470.51599,547.3593795211813,20,20
100,471.51599,547.3685743513307,20,20
101,472.51599,547.3777691814802,20,20
102,473.51599,547.3869640116295,20,20
103,474.51599,547.396158841779,20,20
104,475.51599,547.4053536719284,20,20
105,476.51599,547.4145485020779,20,20
106,477.51599,547.4237433322273,20,20
107,478.51599,547.4329381623768,20,20
108,479.51599,547.4421329925261,20,20
109,480.51599,547.4513278226756,20,20
110,481.51599,547.460522652825,20,20
111,482.51599,547.4697174829745,20,20
112,483.51599,547.4789123131239,20,20
113,484.51599,547.4881071432734,20,20
114,485.51599,547.4973019734229,20,20
115,486.51599,547.5064968035722,20,20
116,487.51599,547.5156916337216,20,20
117,488.51599,547.5248864638711,20,20
118,489.51599,547.5340812940206,20,20
119,490.51599,547.54327612417,20,20
120,491.51599,547.5524709543195,20,20
121,492.51599,547.5616657844688,20,20
122,493.51599,547.5708606146183,20,20
123,494.51599,547.5800554447677,20,20
124,495.51599,547.5892502749172,20,20
125,496.51599,547.5984451050666,20,20
126,497.51599,547.6076399352161,20,20
127,498.51599,547.6168347653654,20,20
128,499.51599,547.6260295955149,20,20
129,500.51599,547.6352244256643,20,20
130,501.51599,547.6444192558138,20,20
131,502.51599,547.6536140859632,20,20
132,503.51599,547.6628089161127,20,20
133,504.51599,547.672003746262,20,20
134,505.51599,547.6811985764115,20,20
135,506.51599,547.6903934065609,20,20
136,507.51599,547.6995882367104,20,20
137,508.51599,547.7087830668598,20,20
138,509.51599,547.7179778970093,20,20
139,510.51599,547.7271727271587,20,20
140,511.51599,547.7363675573081,20,20
141,512.51599,547.7455623874575,20,20
142,513.51599,547.754757217607,20,20
143,514.51599,547.7639520477564,20,20
144,515.51599,547.7731468779059,20,20
145,516.51599,547.7823417080554,20,20
146,517.51599,547.7915365382047,20,20
147,518.51599,547.8007313683541,20,20
148,519.51599,547.8099261985036,20,20
149,520.51599,547.8191210286531,20,20
150,521.51599,547.8283158588025,20,20
151,522.51599,547.837510688952,20,20
152,523.51599,547.8467055191013,20,20
153,524.51599,547.8559003492508,20,20
154,525.51599,547.8650951794002,20,20
155,526.51599,547.8742900095497,20,20
156,527.51599,547.8834848396991,20,20
157,528.51599,547.8926796698486,20,20
158,529.51599,547.9018744999979,20,20
159,530.51599,547.9110693301474,20,20
160,531.51599,547.9202641602968,20,20
161,532.51599,547.9294589904463,20,20
162,533.51599,547.9386538205957,20,20
163,534.51599,547.9478486507452,20,20
164,535.51599,547.9570434808946,20,20
165,536.51599,547.966238311044,20,20
166,537.51599,547.9754331411934,20,20
167,538.51599,547.9846279713429,20,20
168,539.51599,547.9938228014923,20,20
169,540.51599,548.0030176316418,20,20
170,541.51599,548.0122124617913,20,20
171,542.51599,548.0214072919406,20,20
172,543.51599,548.03060212209,20,20
173,544.51599,548.0397969522395,20,20
174,545.51599,548.048991782389,20,20
